Category: All categories

Month,67: (Worldwide),69: (Worldwide)
2004-01,13,37
2004-02,12,39
2004-03,13,31
2004-04,13,34
2004-05,13,37
2004-06,13,38
2004-07,13,41
2004-08,13,39
2004-09,17,38
2004-10,14,36
2004-11,13,36
2004-12,13,36
2005-01,13,37
2005-02,11,37
2005-03,11,37
2005-04,12,37
2005-05,11,39
2005-06,11,39
2005-07,12,40
2005-08,11,37
2005-09,11,37
2005-10,11,37
2005-11,11,38
2005-12,10,40
2006-01,12,38
2006-02,14,37
2006-03,13,37
2006-04,11,37
2006-05,12,39
2006-06,12,40
2006-07,13,36
2006-08,12,35
2006-09,12,37
2006-10,12,36
2006-11,12,35
2006-12,12,36
2007-01,14,35
2007-02,17,39
2007-03,13,40
2007-04,13,45
2007-05,13,42
2007-06,13,42
2007-07,15,42
2007-08,14,42
2007-09,13,39
2007-10,13,39
2007-11,13,38
2007-12,13,40
2008-01,14,42
2008-02,13,41
2008-03,14,44
2008-04,14,41
2008-05,14,45
2008-06,14,45
2008-07,21,45
2008-08,19,47
2008-09,16,40
2008-10,15,41
2008-11,14,41
2008-12,14,41
2009-01,16,41
2009-02,15,41
2009-03,16,43
2009-04,16,43
2009-05,16,43
2009-06,16,44
2009-07,16,44
2009-08,17,45
2009-09,17,43
2009-10,18,41
2009-11,17,42
2009-12,16,43
2010-01,18,39
2010-02,18,42
2010-03,18,39
2010-04,18,41
2010-05,19,44
2010-06,18,50
2010-07,18,41
2010-08,18,40
2010-09,18,39
2010-10,18,41
2010-11,17,40
2010-12,18,43
2011-01,20,43
2011-02,21,44
2011-03,18,42
2011-04,18,42
2011-05,20,41
2011-06,19,47
2011-07,18,43
2011-08,18,41
2011-09,19,42
2011-10,18,42
2011-11,18,41
2011-12,19,42
2012-01,19,42
2012-02,19,43
2012-03,21,43
2012-04,21,46
2012-05,21,46
2012-06,23,46
2012-07,22,43
2012-08,21,43
2012-09,20,45
2012-10,22,47
2012-11,20,43
2012-12,19,43
2013-01,20,43
2013-02,20,46
2013-03,21,45
2013-04,22,46
2013-05,20,45
2013-06,21,43
2013-07,21,46
2013-08,21,45
2013-09,20,44
2013-10,20,44
2013-11,20,44
2013-12,20,43
2014-01,20,45
2014-02,21,45
2014-03,22,47
2014-04,22,45
2014-05,22,46
2014-06,21,50
2014-07,20,49
2014-08,21,52
2014-09,22,47
2014-10,21,47
2014-11,20,47
2014-12,19,50
2015-01,21,50
2015-02,22,50
2015-03,23,49
2015-04,23,51
2015-05,23,51
2015-06,22,49
2015-07,22,48
2015-08,21,48
2015-09,22,48
2015-10,22,47
2015-11,20,48
2015-12,21,49
2016-01,22,50
2016-02,24,49
2016-03,22,45
2016-04,23,48
2016-05,25,50
2016-06,22,49
2016-07,22,48
2016-08,22,47
2016-09,21,49
2016-10,22,49
2016-11,32,49
2016-12,24,56
2017-01,23,51
2017-02,21,51
2017-03,22,49
2017-04,23,51
2017-05,28,54
2017-06,23,50
2017-07,23,51
2017-08,24,48
2017-09,24,49
2017-10,23,47
2017-11,24,49
2017-12,24,50
2018-01,24,51
2018-02,24,50
2018-03,24,54
2018-04,23,52
2018-05,22,53
2018-06,21,57
2018-07,22,56
2018-08,25,60
2018-09,23,55
2018-10,24,54
2018-11,23,79
2018-12,22,61
2019-01,23,55
2019-02,23,64
2019-03,22,53
2019-04,23,53
2019-05,23,51
2019-06,22,55
2019-07,25,53
2019-08,22,54
2019-09,23,77
2019-10,23,56
2019-11,23,55
2019-12,23,60
2020-01,23,52
2020-02,24,52
2020-03,21,47
2020-04,22,48
2020-05,23,60
2020-06,24,58
2020-07,23,55
2020-08,23,51
2020-09,24,51
2020-10,23,54
2020-11,22,50
2020-12,23,55
2021-01,22,50
2021-02,23,54
2021-03,25,56
2021-04,26,53
2021-05,24,51
2021-06,23,52
2021-07,22,50
2021-08,23,52
2021-09,23,51
2021-10,27,54
2021-11,25,52
2021-12,24,55
2022-01,24,45
2022-02,27,47
2022-03,26,48
2022-04,25,53
2022-05,25,54
2022-06,24,54
2022-07,24,56
2022-08,26,56
2022-09,26,54
2022-10,26,51
2022-11,27,53
2022-12,27,52
2023-01,29,56
2023-02,29,52
2023-03,28,52
2023-04,25,54
2023-05,25,53
2023-06,25,54
2023-07,24,56
2023-08,24,53
2023-09,27,55
2023-10,29,54
2023-11,32,52
2023-12,30,54
2024-01,43,56
2024-02,45,52
2024-03,48,52
2024-04,43,54
2024-05,45,57
2024-06,42,54
2024-07,38,53
2024-08,41,49
2024-09,40,57
2024-10,41,55
2024-11,44,54
2024-12,43,58
2025-01,33,54
2025-02,34,55
2025-03,33,52
2025-04,32,55
2025-05,30,55
2025-06,31,54
2025-07,31,53
2025-08,43,55
2025-09,70,53
2025-10,95,55
2025-11,100,55
