Date,Local Start Time,Away Team,Home Team,Venue
2025-03-18,07:10 PM JST,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome
2025-03-19,07:10 PM JST,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome
2025-03-27,03:05 PM EDT,Milwaukee Brewers,New York Yankees,Yankee Stadium
2025-03-27,03:07 PM EDT,Baltimore Orioles,Toronto Blue Jays,Rogers Centre
2025-03-27,03:05 PM CDT,Boston Red Sox,Texas Rangers,Globe Life Field
2025-03-27,04:05 PM EDT,Philadelphia Phillies,Washington Nationals,Nationals Park
2025-03-27,03:10 PM CDT,Cleveland Guardians,Kansas City Royals,Kauffman Stadium
2025-03-27,03:10 PM CDT,New York Mets,Houston Astros,Daikin Park
2025-03-27,04:10 PM EDT,San Francisco Giants,Cincinnati Reds,Great American Ball Park
2025-03-27,01:10 PM PDT,Atlanta Braves,San Diego Padres,Petco Park
2025-03-27,03:10 PM CDT,Los Angeles Angels,Chicago White Sox,Rate Field
2025-03-27,04:10 PM EDT,Pittsburgh Pirates,Miami Marlins,loanDepot park
2025-03-27,03:15 PM CDT,Minnesota Twins,St. Louis Cardinals,Busch Stadium
2025-03-27,04:10 PM PDT,Detroit Tigers,Los Angeles Dodgers,Dodger Stadium
2025-03-27,07:10 PM MST,Chicago Cubs,Arizona Diamondbacks,Chase Field
2025-03-27,07:10 PM PDT,Athletics,Seattle Mariners,T-Mobile Park
2025-03-28,04:10 PM EDT,Colorado Rockies,Tampa Bay Rays,George M. Steinbrenner Field
2025-03-28,07:07 PM EDT,Baltimore Orioles,Toronto Blue Jays,Rogers Centre
2025-03-28,07:10 PM EDT,Pittsburgh Pirates,Miami Marlins,loanDepot park
2025-03-28,07:05 PM CDT,Boston Red Sox,Texas Rangers,Globe Life Field
2025-03-28,07:10 PM CDT,New York Mets,Houston Astros,Daikin Park
2025-03-28,06:40 PM MST,Chicago Cubs,Arizona Diamondbacks,Chase Field
2025-03-28,06:40 PM PDT,Athletics,Seattle Mariners,T-Mobile Park
2025-03-28,06:40 PM PDT,Atlanta Braves,San Diego Padres,Petco Park
2025-03-28,07:10 PM PDT,Detroit Tigers,Los Angeles Dodgers,Dodger Stadium
2025-03-29,01:05 PM EDT,Milwaukee Brewers,New York Yankees,Yankee Stadium
2025-03-29,01:10 PM CDT,Los Angeles Angels,Chicago White Sox,Rate Field
2025-03-29,01:15 PM CDT,Minnesota Twins,St. Louis Cardinals,Busch Stadium
2025-03-29,03:07 PM EDT,Baltimore Orioles,Toronto Blue Jays,Rogers Centre
2025-03-29,04:05 PM EDT,Philadelphia Phillies,Washington Nationals,Nationals Park
2025-03-29,03:10 PM CDT,Cleveland Guardians,Kansas City Royals,Kauffman Stadium
2025-03-29,04:10 PM EDT,San Francisco Giants,Cincinnati Reds,Great American Ball Park
2025-03-29,04:10 PM EDT,Colorado Rockies,Tampa Bay Rays,George M. Steinbrenner Field
2025-03-29,04:10 PM EDT,Pittsburgh Pirates,Miami Marlins,loanDepot park
2025-03-29,06:05 PM CDT,Boston Red Sox,Texas Rangers,Globe Life Field
2025-03-29,06:15 PM CDT,New York Mets,Houston Astros,Daikin Park
2025-03-29,04:15 PM PDT,Atlanta Braves,San Diego Padres,Petco Park
2025-03-29,05:10 PM MST,Chicago Cubs,Arizona Diamondbacks,Chase Field
2025-03-29,06:10 PM PDT,Detroit Tigers,Los Angeles Dodgers,Dodger Stadium
2025-03-29,06:40 PM PDT,Athletics,Seattle Mariners,T-Mobile Park
2025-03-30,01:35 PM EDT,Philadelphia Phillies,Washington Nationals,Nationals Park
2025-03-30,01:35 PM EDT,Milwaukee Brewers,New York Yankees,Yankee Stadium
2025-03-30,01:37 PM EDT,Baltimore Orioles,Toronto Blue Jays,Rogers Centre
2025-03-30,01:40 PM EDT,San Francisco Giants,Cincinnati Reds,Great American Ball Park
2025-03-30,01:40 PM EDT,Colorado Rockies,Tampa Bay Rays,George M. Steinbrenner Field
2025-03-30,01:40 PM EDT,Pittsburgh Pirates,Miami Marlins,loanDepot park
2025-03-30,01:10 PM CDT,Cleveland Guardians,Kansas City Royals,Kauffman Stadium
2025-03-30,01:10 PM CDT,Los Angeles Angels,Chicago White Sox,Rate Field
2025-03-30,01:15 PM CDT,Minnesota Twins,St. Louis Cardinals,Busch Stadium
2025-03-30,01:35 PM CDT,Boston Red Sox,Texas Rangers,Globe Life Field
2025-03-30,01:10 PM MST,Chicago Cubs,Arizona Diamondbacks,Chase Field
2025-03-30,01:10 PM PDT,Athletics,Seattle Mariners,T-Mobile Park
2025-03-30,04:10 PM PDT,Atlanta Braves,San Diego Padres,Petco Park
2025-03-31,01:10 PM CDT,Minnesota Twins,Chicago White Sox,Rate Field
2025-03-31,01:10 PM CDT,Kansas City Royals,Milwaukee Brewers,American Family Field
2025-03-31,02:35 PM EDT,Boston Red Sox,Baltimore Orioles,Oriole Park at Camden Yards
2025-03-31,03:05 PM EDT,Colorado Rockies,Philadelphia Phillies,Citizens Bank Park
2025-03-31,06:40 PM EDT,Texas Rangers,Cincinnati Reds,Great American Ball Park
2025-03-31,06:40 PM EDT,New York Mets,Miami Marlins,loanDepot park
2025-03-31,07:05 PM EDT,Pittsburgh Pirates,Tampa Bay Rays,George M. Steinbrenner Field
2025-03-31,07:07 PM EDT,Washington Nationals,Toronto Blue Jays,Rogers Centre
2025-03-31,06:45 PM CDT,Los Angeles Angels,St. Louis Cardinals,Busch Stadium
2025-03-31,07:10 PM CDT,San Francisco Giants,Houston Astros,Daikin Park
2025-03-31,06:40 PM PDT,Cleveland Guardians,San Diego Padres,Petco Park
