Category: All categories

Country,Robbie Williams: (1/1/04 - 1/14/25)
Isle of Man,
Guernsey,
Faroe Islands,
Jersey,
United Kingdom,100
Malta,
Gibraltar,
Monaco,
Austria,79
Ireland,75
Denmark,71
Luxembourg,
Liechtenstein,
Estonia,66
Germany,65
Netherlands,64
Italy,62
Australia,61
North Macedonia,
Greenland,
Slovenia,57
San Marino,
Croatia,56
Slovakia,54
New Zealand,52
Switzerland,52
Norway,52
Lithuania,50
Latvia,50
Hungary,48
Belgium,46
Iceland,
Argentina,46
Czechia,45
Finland,43
Åland Islands,
Cook Islands,
Chile,41
Sweden,41
Mexico,41
Portugal,40
Andorra,
Serbia,39
Romania,39
Bulgaria,39
Cyprus,
Spain,35
Peru,35
Georgia,
Paraguay,33
Uruguay,33
Montenegro,
Bolivia,32
Timor-Leste,
Greece,30
France,28
Costa Rica,27
Seychelles,
Honduras,
El Salvador,
Bosnia & Herzegovina,
Poland,26
French Polynesia,
Curaçao,
Vanuatu,
Mauritius,
New Caledonia,
St. Helena,
Mongolia,
Israel,22
Ecuador,22
South Africa,22
Aruba,
Cayman Islands,
Brunei,
Cape Verde,
Guatemala,21
St. Martin,
Belarus,21
Colombia,20
Réunion,
Nicaragua,
Russia,19
Albania,
Venezuela,19
Sint Maarten,
Singapore,18
Ukraine,17
Madagascar,
Tonga,
Caribbean Netherlands,
British Virgin Islands,
Panama,
Bermuda,
Armenia,
Mozambique,
Moldova,
Maldives,
Angola,
United Arab Emirates,14
Guadeloupe,
Papua New Guinea,
Lebanon,
Namibia,
Barbados,
Martinique,
Turkmenistan,
Fiji,
Hong Kong,12
St. Barthélemy,
St. Vincent & Grenadines,
Kazakhstan,11
Malaysia,11
Turks & Caicos Islands,
Botswana,
Canada,11
French Guiana,
Uzbekistan,
Mayotte,
Antigua & Barbuda,
Brazil,10
Indonesia,10
Qatar,
Kosovo,
Azerbaijan,
Solomon Islands,
Samoa,
Tunisia,
Palestine,
Grenada,
Dominica,
Philippines,9
Kyrgyzstan,
Türkiye,8
Dominican Republic,
Macao,
Bhutan,
Bahrain,
Cuba,
St. Lucia,
Eswatini,
Suriname,
Morocco,
Chad,
Equatorial Guinea,
Bahamas,
Puerto Rico,
Thailand,6
Djibouti,
Zimbabwe,
United States,5
Belize,
Senegal,
Trinidad & Tobago,
Guam,
Zambia,
Niger,
Laos,
Tajikistan,
China,
Gabon,
Lesotho,
Gambia,
Malawi,
Myanmar (Burma),
Algeria,
Jamaica,
Taiwan,4
Cambodia,
St. Kitts & Nevis,
Sri Lanka,
Kuwait,
Côte d’Ivoire,
Somalia,
Oman,
U.S. Virgin Islands,
Sierra Leone,
Cameroon,
Haiti,
South Korea,
Mali,
Nigeria,
Guyana,
Libya,
Nepal,
Kenya,
Burundi,
Togo,
Congo - Brazzaville,
Mauritania,
Benin,
Uganda,
Guinea,
Ghana,
Rwanda,
Afghanistan,
Jordan,
Tanzania,
Congo - Kinshasa,
Ethiopia,
South Sudan,
Liberia,
Syria,
Egypt,
Bangladesh,
Iran,
Burkina Faso,
Vietnam,2
India,2
Saudi Arabia,
Pakistan,
Sudan,
Iraq,
Yemen,
Japan,1
Eritrea,
South Georgia & South Sandwich Islands,
Christmas Island,
Norfolk Island,
Montserrat,
Tokelau,
Northern Mariana Islands,
Comoros,
Nauru,
Western Sahara,
Marshall Islands,
Pitcairn Islands,
Tuvalu,
Falkland Islands (Islas Malvinas),
British Indian Ocean Territory,
Micronesia,
French Southern Territories,
U.S. Outlying Islands,
Antarctica,
Guinea-Bissau,
Kiribati,
Vatican City,
São Tomé & Príncipe,
American Samoa,
Anguilla,
North Korea,
St. Pierre & Miquelon,
Heard & McDonald Islands,
Wallis & Futuna,
Cocos (Keeling) Islands,
Central African Republic,
Bouvet Island,
Palau,
Svalbard & Jan Mayen,
Niue,
